,0
1505,   excellent arguments in defense of women the better half of humanity by far why do you think otherwise that some of us men behave so stupidly repressed sexually and feeling diminished by the outstanding qualities of womens prudence and downtoearth survival kit and the maternal instinct to raise us well so to become contributing people to societys wellbeing ideally our rigid individualism in this still macho world ought to be blended  as  harmonious manwoman binomial opposites that are fully complementary by mutual consultation and respect and not requiring any one of them to be the nasty boss this no matter what the job is so we all may service and fill the needs at present and as best we can directions given by whoever has the training and title for it so equality and fairness are at work and the nasty courtland sykesdonald trumps of this world need not apply as they belong only to the fringes of a forthcoming enlightened society of equals trumps assault of everything noble in our souls and the encouragement of likebeasts to run for office is an outrage we all are shedevils now for good measure
1506,why are so many men like courtland sykes so afraid of women  real men dont need to be surrounded by weakness to feel strong  thanks mr kristof for once again displaying the best traits of masculinity
1507,nicholas please dont use this nut job as a representative of the backlash to the metoo movement brbras a father of a teenage son and two teenage daughters i want them all to be treated equally but just as i would never want anyone to sexually harass my daughters i also dont want someone to accuse my son without evidence of a sexual assault and ruin his life out of vengeance or on a whim brbrits wonderful that these centuryold issues are being taken so seriously but i fear too many on the metoo side are a little too comfortable with a climate where an accusation is a conviction using mr sykes as a straw man for your argument serves no useful purpose
1508,cortland sykes had a pretty transparent gameplan when he decided to run against claire mccaskillbrhow can i draw the attention and hopefully support of the president of the united statesbri know  i will articulate the most laughably draconian remarks imaginable about women that will get his attention and supportbrhe probably thought about running as a reformed pedophile in an effort to gain the presidents support  but saw that hand recently played without success
1509,a man who views womens equality as manhating is saying far more about his own sense of self worth than the worth of women
1510,this is the most misogynistic administration in my lifetime  defund planned parenthood destroy mandatory insurance coverage for contraception free health care providers to deny treatment they dont agree with and defund community health centers  now this yahoo says what republican men believe keep women barefoot and pregnant home cooking dinner  marches are good votes against republicans are necessary not optional  and theres another way to make the point  a womens sex strike on all republican men  start now before its too late
1511,thank you for writing this  weve come along way since the days when women were expected to be married right out of highschool  we now have more options than housewife teacher secretary nurse or nun  but there will always be those men who wish that the womens rights movement never happened  equality can never be taken for granted its something that must be worked for at for all our sakes
1512,i hope the script writers for the handmaids tale are reading this article they need material for season 2 
1513,democracy is not protected and promoted by standing or feeling resisting or following a herdbrit is nurtured and defended by education independent thinking knowledge of ones country and government and a good understanding how legal reform actually works
1514,im a 65 year old american male who grew up in a racist misogynistic midwest region not unlike the region courtland sykes hails from evidently his programming reflects my own women are to be treated with respect but not taken seriously their primary role is as wife and mother men should always maintain a superior role and therefore of course god has ordained that the man should be the head of the household brbrunlike mr sykes ive learned that much of my programming was in error over the years i have learned a great deal from the women in my life and i am now beginning to understand just how little i actually know and how much i still need to learn nevertheless the programming is still there buried deep within and i have spent decades in an effort to observe and correct vestigial traces of that programming that battle will no doubt continue as long as i am alive brbrthe problem in america today it seems is that many of us  men and women alike  refuse to acknowledge this programming and therefore find complete justification in shutting down any attempts to correct it brbrwe all know the phrase the first step in solving a problem is admitting that you have a problem and that is precisely why we must all work so hard to eradicate this cancerous imbalance from our culture  because there remain far too many americans who adamantly refuse to take that first stepbrbrand sadly many hold positions of inordinate power over our laws and our culture 
1515,amen mr kristoff ive been a feminist since my first girlfriend in high school showed me she was smarter tougher funnier and wiser than any of my male friends my mom was the same when it came to the men in the household as were many of my friends moms my motherinlaw is one of the most awesome people youd ever want to meet she taught about the history of the struggle for womens rights im a lucky and richer man for getting it that women are 12 the equation for the best for humankind i mean really whos kidding who trump is a man who doesnt know or care to know about anything other than how to get what he wants  money fame and power  whatever the price in other words hes like a lot of guys who see how well a patriarchy works for men who want to get ahead and know how to exploit their social advantages keep up the hreat work
1516,im delighted that this column referenced concern over distinguishing between al frankens behavior and weinsteins a concern i share as secondary too much of the media seizes on such criticism as opposition rather than arguments to appropriately focus the metoo movement and to maintain its credibility of course major trouble within the ranks makes for more exciting news than a discussion of an organizations real mission
1517,nicholas i disagree with your statement that to know how to distinguish between the harvey weinsteins and the al frankens is important but those controversies are secondarybrbrfeminism is the multifaceted face of the war between the sexes i agree that ex is but one aspect but seduction is the freeform art that sets the stage for all prejudices and misunderstandings between men and women it is only when a man or a woman or both do not coincide on that playing field of sexual interplay that trouble arises whether the aggressor is a man or a woman makes no differencebrbrall issues arise from how two people feel about each other sexually attraction or repulsion is the background of all human relations only when participants set aside the reptilian mind reactions to each other is advance possible in all other fields of interaction between them brbrthe war between the sexes might be redefined by setting aside attraction or repulsion removing emotion from the search for equality in politics the work arena and religion sex politics and religion are the domains of conflict and strife conflict is here to stay we are human this war can only be modified not solvedbrbrfeminism seeks modification this should not destroy the rush of attraction but instead recognize and accept its difference from unwanted aggression
1518,it always cracks me up to see childcare framed as a womens issue  men have children too and are probably equally concerned about who will take care of them while they are at work  it just shows how ingrained gender inequality really is when even our defenders dont recognize their bias  otherwise i appreciate the intention of the piece
1519,feminism today like so many large groups is a starling murmurationbrbrfeminism today like virtually every other large and human group gathering appears to be organization at a low level of mentalbehavioral complexity higher human organization seems to depend on higher intelligence and flexibility of behavior as seen in superior sports teams the best music groups the must successful businesses government projects such as nasabrbrbut feminism today appears to parallel so many other collective organizations not to mention the two major political parties by enforcing a tightness of behavior and thoughtthat thought has correspondence in the body and viceversa complete repudiation of cartesian duality separation between body and mindwhich of course adds up to conformity and still more conformitybrbrthis cannot help but combine and clash with other collective movements which themselves follow the same pattern the entire effect looking over the large group clashes in america today is as if witnessing starling murmuration groups smashing into each other separating recombining but still always at rather low level of complexity with respect to thought and behavior brbrit just doesnt seem to bode well if we consider american democracy a project toward higher overall complexity and higher relationship between individual body and mind of course there is no going backward but it would be nice if we get a much more clear science of human social systems development 
1520,history is on your our side mr kristof  please continue to use your voice that touches so many to inspire our fight at the local and state level 
1521,most men support womens rights unfortunately there are those that want to keep women barefoot and pregnant this is another reason to support more women running for officebrbrwe wont have true equality until we have at least as many women as men serving as elected officials vote progressive in all local state amp national elections
1522,another great article mr kristof i want to address one thing in this article you indirectly take issue with the dehumanizing language mysongists are using to reference to feminists thank you however you also dehumanize in a less harsh way melania trump by referring to her as betrayed wife no 3 shes been reduced to her treatment and relationship to a man as a feminist who struggles with melanias life choices i believe that if we are going to achieve the promise of feminism  equality for all humans we have to also be outraged when any acts of dehumanization are used  even towards people we disagree with or dont like and we certainly must work to not engage in this practice ourselves
1523,as hrc said womens right are human rights   some men like to cook and enjoy parenting some women are great in business you need to be smart and fair  to understand gender equality is good for everyone
1524,conducting oneself with resolve and integrity despite danger and defamation until equal rights are achieved  to me there was always a double meaning to womens suffrage
1525,of course there will be disagreemetns about policies or about where to draw lines  about what to make of aziz ansari and how to distinguish between the harvey weinsteins and the al frankens but those controversies are secondarybrbrsecondary not for me i support any mechanism including quotas that will help more power achieve more positions of power which in the long run is what will sort of lot of these problems out however i will never forget how many of my collegeeducated liberal female friends brushed aside our central societal lynchpin of due process lives and careers could be ruined overnight merely by collective judgment in the court of public opinion my childhood experiences led to me to despise two things bullies in pants or skirts and false accusations so while i will continue to fully support womens rights i will not be standing with any shedevils
1526,you ask why is a man writing this column while i agree with you that womens rights arent just a womans issue any more than civil rights were just a black issue and support and appreciate your using the space youve been given to write movingly and convincingly on the topic i think theres more to it a man is also writing this column in part because well men simply get more chances to write columns than do women or for that matter nonbinary people the question then becomes whats the best way to solve this problem how do we tear down patriarchy
1527,thanks for the article please note however that progress has not been enormous in the matter of our elected representatives gender compared to most other countries it has been abysmal 
1528,nicholas kristof seems to support the metoo movement which has been shaming men in the media for alleged cases of sexual harassment  yes women should be protected from sexual violence but men should also be protected from false accusations from having their lives destroyed by media which are quick to judge before the facts have been fully ascertainedbrbrthe metoo movement also neglects a serious problem in american society  if men of power do sometimes abuse women it is also the case that there are millions of poor men without jobs who die early of cancer because they cannot afford cancer screeningsbrbrthere are also women dying because they cannot afford health care  becoming homeless is often a twostep process  first one loses a house and lives in a camper then one loses even that  the intermediate step is described in nomandland a recent book by jessica bruderbrbrwhile women complain about discrimination in the workplace the camper people are discriminated by upstanding democrats as well as republicansbrbrin my community it is illegal to park a camper anywhere so far as i can tell except on your own property  this keeps those becoming homeless invisible  they build communities out in the desertbrbrwhile wealthy movie stars complain that some producer hit on them the homeless lose their teeth because of lack of dental carebrbrliberals have forgotten the truly poor many of whom wind up in prison  the us has 14 times the incarceration rate of japan
1529,a new quinnipiac poll finds that 72 percent of republicans consider trump a good role model for childrenbrbrmy late fathera lifelong loyal politically active republican evangelicalis turning over in his grave
1530,an astonishing 390 women are now running for congress this will be the test in view of the rancor and political blindness now being exhibited by the republicans in congress i hope the 390 represent a positive turn around we need it badly
1531,72 percent of republicans consider trump a good role model for childrenbrbrthere has never been better proof that it is time for the gop to go the way of the whigs the party they replaced back when they represented americas left wing and were truly the party of lincoln brbrthere comes a point where the compromise of decency and truth in the pursuit of power within a democracy crosses a line  obviously trump crossed that line long before he became president now the gop has crossed it with their unwavering support of this monster forgiving everything he does and turning on any institution that may try to reign him in regardless of facts brbrimpeach the gop
1532,well done mr kristof today i am proud to acknowledge you as a fellow oregonian
1533,thank you for speaking out on behalf of our shared humanity
1534,amen  this is not a zero sum game  men are more if women are more  culture and societal norms are all enriched if women are more  the future of the human race and of the planet are made more secure if women are more
1535,women need the support of men at home at the workplace and everywhere else they live their lives women can not win the fight for fairness and equality by themselves i believe if more men were like mr kristof we would not even be having this discussion one of the goals of right wing republicans seems to be the marginalizing minimalizing and outright demonizing of their female opponents this only adds to an already hostile environment felt by most women today 
1536,as a filipino i have watched with deep sadness as the united states a country i considered to be one of the worlds leaders in issues of human rights and equality elected donald trump having elected our own misogynistic warmongering wouldbe dictator duterte we can relate its good to know that at least this one good thing is coming out of the trump presidency the continuing growth evolution and acceptance of feminism not as a radical ideology but as the sane humane norm 
1537,having grown up in a family where the women had huge personalities and the men were relatively passive i find the narrative of a demure and obeisant female race dating back to antiquity to be more of a modern myth than a sociological realitybrbri am sure that brash bold intellectually selfpossessed women have existed since the beginning of the human species and have very often found ways to make their social settings work for thembrbrthe ones who really are strong and powerful dont need a lot of help asserting themselves  the ones who need a lot of help asserting themselves maybe just arent readybrbrif i have a daughter i dont think i will teach her that women have always been oppressed and only now after hundreds of thousands of years are they starting to have a chance to be heard  that ideology is a curse and a lie  i would teach her that women have always found a way to speak meaningfully in different ways depending on their own personal strengths
1538,feminism is simply a belief that men and women should be equal and arent stuck in preconceived roles if courtland sykes fiance wants to have a hot dinner waiting for her man when he strolls through the door after a long day of work more power to her its not about hating men its about having the power to choose and being supported in said choicebrbrthe problem is when men assume all women have been put on this earth to serve them and then get offended when some of them would rather do something else suddenly those women are maneating harpies evil shrews and ready to do away with men the moment they find a way to procreate on their own basically these men dont take rejection wellbrbri always appreciate mr kristofs point of view because hes been fighting for womens rights and equality since before it was en vogue or a hashtag for every man like courtland sykes or donald trump there are an increasing number of men like mr kristof and my husband who happily shares the housework with me despite the far more lucrative job and would make a wonderful stayathome dad should the opportunity arise 
1539,his views about women are obviously detestable but im equally disgusted by his slogan visible in the picture missouri is the real america this pernicious rhetoric has been around for a long time i recall that sarah palin made a lot of use of it in small midwestern towns in 2008 it should be resisted and contradicted whenever it occurs all of us whatever our ethnicity class gender sexual orientation or any other demographic  including the state and the size of the town we live in  are equally real americans
1540,mr kristof what do you think those 72 of republicans who think that denigrating don is a good role model for children think of your column if they ever read it
1541,thank you for this timely message nickbrbri just made donations to claire mccaskill maria cantrell and elizabeth warren
1542,the unfortunate reality is that there is a mr sykes around every corner of our social political and economical aspect of our society all those sykes live in our universe and not in a parallel one time has come to catapult them away to where they belong
1543,and yet this mouth breather has a fiancee a woman born in our modern time is  perfectly willing to live within the constraints sykes defines 
1544,too bad i dont work in a place where people value women in management as much as men off to go work in support of my supervisor who lacks two thirds of my credentials his ba to my mpa and jd and outearns me by a significant amount hell happily go on taking credit for my work without ever acknowledging its my work not his and ill count the days until retirement
1545,i am a 73 year old woman  i married in the 1960s  we sacrificed more money for me to be a stayathome mom  my suggestion to men if they want a wife to be stayathome dinner at 5 then they have to earn more money  families cannot survive on one income unless they are in the top 10 of society  if women have to work then pay wages that give families the option of having one of the spouses stay at homebrbri worked all of my life until retirement except those 5 years i stayed at home with my son  i never earned as much money as my husband although he was a factory worker and i was a nurse rn
1546,how is hillary clintons life a wreckbrbrshe was a successful lawyer  she married a president and worked along side him  she was a senator and a secretary of state  she was within a breath of the presidency  she is many times a millionaire  she has the attention of the world and anytime she wants to speak the media will run towards her at a wave of her wrist  she has a successful foundation doing her bidding  she has met or has had friendships with thousands of the worlds most interesting people  she has a daughter who appears to share love with herbrbrif hers is a failed life because she did not achieve everything to which she aspired i doubt if there any successful ones
1547,whenever people ask me how can i be a feminist i respond how can i not and have any selfrespect i also have 3 daughters and 2 sons and 2 young granddaughters and 1 grandson people like sykes would have me count only my 2 sons and one grandson as people while being content for the least rights and opportunities for my daughters and granddaughters perhaps i am supposed to hope they meet good owners sykes belongs in the trashheap of history along with slaveholders
1548,frederick douglass the great 19th century abolitionist also spoke up for woman suffrage asked why he said something to the effect relying on memory here what i do for my race i do for my self what i do for women has some nobility in it so glad to have kristof speaking up for women in 2018 and 390 women running for congress november 2018 will be a game changer
1549,many women and some men were horrified that a man who boasted of sexual assault could be elected presidentbrbrbefore we get too carried away with a female revolt and uprising remember that 54 of the white female vote went to trump and this was well after revelations about his beliefs attitudes and past behavior it is a fact that unfortunately the large white female voting block is a trump strength and will need to somehow be overcome next election
1550,i hope that courtland sykes loses to senator mccaskillbrbrand then i hope that mr sykes gets married has daughters and that those daughters grow up to be strong independent women who straighten out their neanderthal dad
1551,thank you for your claritylets keep up the political pressure and continue to focus on actions that are intersectional and progressive
1552,the key phrase here is backlash a window into the backlash against metoobrbrthis clown sykes would no doubt have had the same loony opinions regardless however it would have made him a freak at the margins until we got into backlashbrbrpolitics works like a pendulum the further it swings the further it swings backbrbrit is a great thing to make a lot of progress all in one rush however if the ground taken cannot be held then overreach produces less progress than taking less in the first place but holding that ground once taken brbrthat is the danger now it is those who risked excess as in taking down al franken not those who took down the worst cases like harvey weinstein it costs far more than the guy like franken it costs the backlash against doing itbrbrit is exactly because this movement is right and important that caution should be exercised not to mess it up by going too far too fast
1553,confronting the general tendency to defer to male selfconfidence rather than female expertise brbrthank you  brbrthis is the core of the what women face every daybrbr exemplified by the election of trump whose campaign policy statements amounted to i know more about isis than the generals and youre going to like it believe me over a policy wonk woman who presented detailed proposalsbra hrefhttpswwwhillaryclintoncomissues titlehttpswwwhillaryclintoncomissues targetblankhttpswwwhillaryclintoncomissuesabrthat were ignored as if they were irrelevant to being presidential
1554,i feel for sykes daughters if he currently has any amp pray that he never has more it seems that like trump the man has low self esteem and major insecurity clearly he is threatened by those of us who happen to have two x chromosomes 
1555,i think youve missed the real story here  clearly courtland sykes is not a real candidate but the first ai bot to run for office  his published statements sound just like the pseudorandom political gibberish of a twitter bot and his campaign posters and slogans inspirobot could do a better job  even his name and his fiances name for that matter sound like something made up by baby name genie  
1556,since mr sykes is now free to say what he thinks others are free to answer him instead of talking around the issue and no one can plausibly claim that people like him exist only in the overheated imaginations of feminists  a mixture of rage and mockery seem indicated  
1557,thank you mr kristof for always elevating women either in this country or in other culturesthe support for shedevils is growing exponentially in this country and now even in muslim countriesthe new york times had an article just days ago about three women graduates of the naval academy who are running for congress this yearthey cleared the hurdle for entry to the academy and active duty and now will be shedevils serving us in congresswomen have so many admirable role models todayfor someone who grew up in the era of dinner on the table by five it is very inspiring
1558,i have never had a sister or a daughter but i know if we do not turn back those who believe they can tell a woman how to live her life there will be far too many generations of pain  if an elected official cannot understand this we have a duty to remove them from power i am a father and a husband and my sons know this
1559,thank you for sharing your perspective on the backlash  i have noticed a trend for some young women that want take their husbands names be taken care of and told how to make decisions  this saddens me and makes me fear a reverse in forward progress on womens rights  dano50 is right on  men cannot be free if women arent liberated  the future generations will determine the value of women i feel a change will be coming  
1560,i dont understand how people can criticize another persons identity as made up  isnt that the whole point is that we create our own identities one woman doesnt even get to decide what being a woman means for another woman its not just obnoxious sexism its like they cant even grasp the idea of flexibility within an identity group literally campaigning on a platform revealing intellectual inferiority thats where we arebrbrand calling him an acolyte of trump is skipping over the mo governor that is probably the missing link between the two  
1561,my father had a job which caused him to leave at dawn to get to the can plant where he managed the warehouse my mother kept dinner warmed for him when he came home late i made desserts which he ate and said were swell  my mother grandmother and aunts went movies in town and to plays in sf my grandfather came to like going to plays in the city  i dont remember any conversations about women or their rights the women in my family had all the rights they wanted  it was a tolerant family i came home and lectured every one about the war in vietnam and voters rights the family listened my father said that he would rather have me doing those normal things when i was young and passionate than have me become cynical  perhaps the fact that both sides of the family had irish antecedents made them more tolerant of protest  perhaps it is wise to let young people follow their passions without critiques it is the last time they are truly free to shout out and march no jobs or kids  if they continue to march later in life good on them
1562,men cannot be free if women are not free let the white male patriarchy die let all people of all genders and colors know real freedom and equality
1563,thank you
1564,ok we get it the msndnc have decided gender is their winning issue for the mid terms you can also hope for an economic downturn   
1565,thank you nick kristof for writing not only this piece but for your coverage of human including womens rights issues over the years though its disheartening to read about the courtland sykeses who endure in our country your message that men need to step up to the plate is spot on we need more hedevils like you
1566,thank you as always for supporting women we cannot do this alone the good men out there need to stand with us or there will not be meaningful and long lasting change why arent more of the good men speaking out and stepping up 
1567,as recently as 1987 only half of americans said that it was always wrong for a man to beat his wife with a belt or stickbrbrreference please  brbrkristof has never written about a man murdered by his wifepartner unless of course he can ascribe the murder to the man and completely exonerate the woman nor has he written about the wholesale condemnation of men under socalled domestic violence laws the vast majority of which involve no violence whatsoever that leaves leaves them homeless without their children and in many instances jailedbrbr sykes is correct about the insidious effects of feminism on individuals and society thankfully the promoters of shedevils have had their run and more and more people are telling them to take a hike 
1568,thank you for this i grew up with a scandinavian mother who didnt believe in taking a back seat to any man her mother was a dressmaker who contributed to the family finances at a time when few women did so because of their role models i never felt like i should fade into the background around men its a battle that i have fought my entire life and continue to fight i am happy to see younger women taking a stand its easy to become complacent when someone else has done the fighting 
1569,a new quinnipiac poll finds that 72 percent of republicans consider trump a good role model for childrenbrbrand that ladies and gentlemen probably says it all
1570,seven paragraphs seems like a lot of space to devote to a candidate who has not been endorsed by donald trump and who seems unlikely to be elected and there is a later reference to men like sykesbrbrperhaps it is because mr sykes views are so strikingly unpalatable but the argument of the article might be stronger if the author had chosen a target who is less of a straw man and more obviously representative of those whom he wishes to criticize of course a sample of one is still not all that compelling 
1571,excellent article there are some who still believe that women have a place in the kitchen in bed or doing her husbands bidding or any bidding but her own i was fortunate i grew up with a father who was a professor in a high ranking medical school my mother was a nurse and my stepmother was also a doctor in the medical schoolbrbri assumed my life would follow a similar pattern never mind that my stepmother described staff meetings as bull pens and that she was fortunate to have a man my father to stand by her in case anybody thought she might not be as qualified as a man brbrin my life as a journalist there were times three decades ago when a guy i was interviewing said i should be home with the kids home making dinner for hubby or anything but what i was doing  getting more front page stories than most of the other staffersbrbrprogress but many steps more to march  brbrsignedbrbrshe devil and proud of it
1572,respect for differences seems to have largely vanished in todays hyperpartisan usa extremists vilify opponents and only listen to their leftwing or rightwing echo chambers and respective thinktanks moderates everywhere may want to consider others as different not less
1573,if courtland sykes ever has daughters and they want to be career obsessed what does he plan to do disown them
1574,i too stand with the shedevils  crass backward rhetoric out of sykes  sad and pathetic stuff  brbrthe thing that concerns me about skyes and his like is that in these trump times the spectrum of what is ok to say out loud never mind as a us senate candidate is being expanded so that even if sykes doesnt get elected the point of what is acceptable is pushed further to the extreme thus normalizing what would have only a couple years ago be considered shameful and derogatory  brbris this really where peoples hearts are at these days  i just cannot understand this hard liner republican approach and what they hope to gain in the long term  kitchen and the bedroom  ughbrbrwomen deserve better  the country deserves better   we need to make some changes and with the elections coming later in the year i hope it comes soon   
1575,for all of my 43years ive heard men try to tell women and sometimes specifically me how be not too shrill not too ambitious not too muscular not too foulmouthed welldressed hwp good at making dinner by 6pm and take care not to be a knowitall read question your male colleaguesbrbrsykes is the kind of guy that is alltoowilling to continue that trend even though we are now living in an age when it is perfectly ok to question this kind of patriarchical condescension and to laugh at it as women men like him were very confusing when i was a young woman because no one was writing columns like this no one was questioning the fact that maybe women and girls didnt want to be put neatly into categories brbri am so grateful to be living in a time when i can openly thumb my nose and worse at guys like him and im grateful for men like nicholas kristof who will back us up the future looks bright for everyone regardless of gender 
1576,390 is good there should be more than 535 women running id say less than 1070 is too few
1577,i stand with the shedevilsbrbrfrom 72 year old seattleite married with 6 grandchildren and pretty centrist leaning
1578,three cheers for this well crafted rant nick i was very fortunate to have grown up in a household with a father who also expected his woman to have dinner waiting on the table at 6 and with a mother who quickly cleared up that guys misunderstandings fair and balanced with deep respect for each person was the norm for every decision task and responsibility in my house as it should be in all relationships throughout our society i also work in a field conservation science that was once dominated by males but that is increasingly the domain of dynamic women the university classes i teach on this topic are also almost completely filled with very attentive and dedicated women students and each term this trend gives me more confidence that we can have a future with a habitable earth 
1579,heck mo is the population center of the country now in that we are all moving to cali as slowly as it is moving northward  i think sam clemmens home is a fine one from which to roam
1580,not sure you read the article mattie
1581,according to pew women already make the majority of family financial and household decisionsparticularly for big family matters and big ticket items by almost 2 to 1 as for outside the home 52 of white women who possess a lot of the entitlement and privilege in our society voted for trump so while feminist myths shall persist perhaps the trouble with our species is that women already have too much influence sexist remarks that men are to blame is nothing more than chauvinism
1582,jake you should have gotten a nyt pick  everyone here gets on board with a point of view and because they dont challenge themselves with contrasting opinions they assume theirs will fly with the general population  feminists liberals this paperall need to ask themselves what is the fly in the ointment  what are our most vulnerable judgments  is there anything we might be a tad hypocritical about  its important to dig deeper than just singing to the choir cause whats blindspotted can cost an election
1583,you might feel differently if you had been the victim of a sexual assault and nothing were done about it  yes you might be very very angry if you were told that thats just the way it is and you should just get over it
1584,dont forget who that war hero put next in line for the presidency  all women are not equally qualified
1585,nope nothing in the water just slimy opportunists taking advantage of the moment to grab for power brbrits disheartening that missouri gets more than its share of wingnuts the horrors of ferguson the idiocy of todd akin the hubris and hypocrisy of conservative navy seal greitens etc make me wish to move to some other state one where equality rules black lives matter elected representatives reflect their constituents working for their improved lives and nothing bad ever happensbrbrwhere was that state again 
1586,as a missouri progressive  yes there is such a thing  actually a lot of us  im delighted to see the rightwing running candidates like sykes making the opposing choices crystal clear  would love to see him win the primary although his likely opponent our ag josh hawley just put his foot in his mouth about human trafficking too  go claire
1587,travel around rural mo amp judge for yourself  this is why the state is red
1588,i do  at least its not kansas
1589,which part of education independent thinking knowledge of ones country and government and a good understanding how legal reform actually works does trump the executive order machine do
1590,about the same as the spineless democratic party mike zero generally except that trump more frequently makes large strides into negative territorybrbrby the way i wonder which part of a slavish devotion to the decrepit and corrupt two party duopoly you imagine is doing anything at all to help america brbrdemocrats who refuse to lift a finger against trumps emoluments tax returns and conflicts of interest because they are so busy instead feeling so pc and so good at standing up and accomplishing nothing tangible except being door mats for the gop
1591,thank you for your candid admission and for trying every day to be a better person
1592,good for youbrbri find i still struggle this way with racism  it is also deeply programmed into us and i grew up with nonracist parents too  i cant imagine how hard it must be for people who grow up with racism
1593,insightful and gutsy thanks
1594,only a total moron would want women barefoot and pregnant its been decades since i have heard anyone say or propose this with any seriousness why is this ancient straw woman being trotted out againbr     equality is a worthy and nearly achieved goal  last night i watch pbs news female anchor all female reporters all female talking heads and two female experts at the end to suss it all out not a male in the entire production looked like 1955 in exact reverse
1595,liz thanks  i too have had struggles with melanias life choices but ive become much more sympathetic toward her in recent weekshow much can one poor woman be made to pay for some bad decisions  one hopes she can raise her son to be better than his cruel slob of a father  shes going to need a strong real man in her life
1596,many women also have self confidence problems not all but when it rears its ugly head as mens lack does we demand that terms used for females be respectful less honest amp required letting us use our i am less than please help me dont say any woman has made choices less than optimum like being an illegal alien you hook onto a rich man who is a pig which gets you an easy citizenship amp no fear of deportation but being married to a male like this is no fun so to make you feel better everyone must pander to your lack of confidence never saying she is betrayed wife 3 which she is hes had 2 others slept around on all his wives its the same as saying hes president of the usa a title he is reduced to nothing but a title for which his actions makes him unintitled to but thats ok hes a man women must still be coddledbrim 65 disabled amp female ive spent too long doing things i should let others do for me because i am female hear me roar then when i cant do it i must demean myself amp ask for help that had been offered first that i had spurned why because i am a woman hubby broke his ankle badly years ago he had no trouble asking for the help he needed so why should i because feminists have been screaming do it yourself dont be a weakling in my ears for decades i have come to hope loud feminists all should break a leg at some point amp have to totally take care of themselves no help allowed then go back to yelling or not 
1597,some men cant cook but when their wives become disabled through illness or accident have to learn that amp many other women only chores mine did came back from our honeymoon on crutches hubby could burn water toast was almost beyond him i would write a receipe down for him telling him they were like directions in products that must be put together he was always good at those things hed still come in each time he used a receipe amp ask me for help how many times do you have to explain put 12 chicken in pan with a little butter on top put in oven at 350 for one hour now i am permenantly disabled amp he is a great cook though every once in a while he has an attack of lack of confidence i yell from where i am often writing here you can do it i have confidence in you
1598,perhaps not but youve just accepted someone elses definition for everyone of your gendersex
1599,this sounds like a principaled stance but im not entirely sure it is you say you will support anything that helps women achieve positions of power except a movement where in the effort to expose the thousands and thousands of instances where womens lives and careers have been unfairly destroyed by men that movement is unfair to a single man brbri agree that both franken and ansari were railroaded unfairly and i think as with anything this effort to expose sexual harrassment and assault as a constant in womens lives needs to be more careful but you are effectively saying that nothing is worth the possibility of a rush to judgement even though women have been effectively silenced for years and years and years by rushes to judgement thats a pretty high bar to set so that you will be on board with the exposure of a serious problem in our society brbrmaybe you should consider rethinking i think you can speak up about going too far within the context of supporting the basic premise of the movement 
1600,how could the league possibly refuse this offer  
1601,so then the execs can be like yeahwe will sit down and listen to you and then do nothing suit settled 
1602,i would not want to play chess against these cheerleaders lawyersnice move
1603,could the cheerleaders join the actors equity association or another similar performance union an effort for collective representation would do much more to address cheerleader pay and working conditions than a few hour meeting with roger goodell 
1604,seeking conclusions which support preconceived ideas and discarding the data which does not is mr pruitts idea of science we would still be in the dark ages using this approach  science is not political and the truth will always be discovered the science the measurements the study design and the statistical analysis are all difficult and i doubt most will understand the subtleties certainly congress will not understand the science since they are not even reading the bills they pass i have not doubt that mr pruitt does not
1605,pruitt  first eliminate the scientists and now eliminate the sciencebrbrthe number of people that will consider this new epa policy as good news will  sadly be way too many  the idea of using less science to protect the environment should never be proposed or be dismissed at first glance  by using the red herring that the data must be open to the public is just the type of misdirection that the gop is really good at  in this case it will eliminate the need to actually perform any type of environmental protectionbrbr mr pruitt said the measure would allow the public to test scientists findings for themselvesbrbrthe public can analyze years of data from multiple studies and multiple scientists on any subject on some casual day and determine what should be done to protect the environment  i dont really think that is plausible  sound bites are now considered as policybrbrall a company needs to do now is declare any type of data or analysis as proprietary and the epa cant even use it no matter how damaging it may be to people and the planet 
